group	kind	family_count	n
all	all	1	207
all	all	2	1735
all	all	3	1698
all	all	4	981
all	all	5	320
all	all	6	54
all	all	7	1
all	all	8	4
morphosyntactic	class	1	901
morphosyntactic	class	2	2781
morphosyntactic	class	3	917
morphosyntactic	class	4	373
morphosyntactic	class	5	28
phonological	class	1	2460
phonological	class	2	2540
indeterminate	class	1	5000
morsyn_indet	bundle	1	812
morsyn_indet	bundle	2	2849
morsyn_indet	bundle	3	905
morsyn_indet	bundle	4	420
morsyn_indet	bundle	5	14
