Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct	Comments
also	v:leftedge	1	y	n	n	
and	v:leftedge	1	y	n	n	
CONJUNCT	v:leftedge	1	y	n	n	
then	v:leftedge	1	y	n	n	
NP{S,A,P}	v:frontedXP	2	n	n	y	
QWORDS	v:frontedXP	2	n	n	y	
be	v:frontedauxiliary	3	n	n	y	
can	v:frontedauxiliary	3	n	n	y	
could	v:frontedauxiliary	3	n	n	y	
do	v:frontedauxiliary	3	n	n	y	
have	v:frontedauxiliary	3	n	n	y	
may	v:frontedauxiliary	3	n	n	y	
might	v:frontedauxiliary	3	n	n	y	
must	v:frontedauxiliary	3	n	n	y	
ought	v:frontedauxiliary	3	n	n	y	
shall	v:frontedauxiliary	3	n	n	y	
should	v:frontedauxiliary	3	n	n	y	
will	v:frontedauxiliary	3	n	n	y	
would	v:frontedauxiliary	3	n	n	y	
[-n]	v:frontedauxiliaryinflection	4	n	n	y	
[-s]	v:frontedauxiliaryinflection	4	n	n	y	
[-v]	v:frontedauxiliaryinflection	4	n	n	y	
NP{S,A}	v:npsubj1	5	n	n	y	
AD-S	v:ad-S1	6				
AD-VP	v:ad-VP1	7	n	n	y	
can	v:modal1	8	n	n	y	
could	v:modal1	8	n	n	y	
may	v:modal1	8	n	n	y	
might	v:modal1	8	n	n	y	
must	v:modal1	8	n	n	y	
shall	v:modal1	8	n	n	y	
should	v:modal1	8	n	n	y	
will	v:modal1	8	n	n	y	
would	v:modal1	8	n	n	y	
AD-S	v:sd-S2	9	n	n	y	
not	v:neg1	10	n	n	y	
AD-VP	v:ad-VP2	11	n	n	y	
ha	v:perfect	12	n	n	y	
[-s]	v:perfectinflection	13	n	n	y	
[-ve]	v:perfectinflection	13	n	n	y	
AD-S	v:ad-S3	14	n	n	y	
not	v:neg2	15	n	n	y	
AD-VP	v:ad-VP3	16	n	n	y	
AD-V	v:ad-V1	17	n	n	y	
[be-]	v:passive	18	n	n	y	
AD-S	v:ad-S4	19	n	n	y	
not	v:neg3	20	n	n	y	
AD-VP	v:ad-VP4	21	n	n	y	
be	v:progressive	22	n	n	y	
AD-S	v:ad-S5	23	n	n	y	
not	v:neg4	24	n	n	y	
AD-VP	v:ad-VP5	25	n	n	y	
AD-V	v:ad-V2	26	n	n	y	
air	v:nominal	27	n	n	y	
baby	v:nominal	27	n	n	y	
breast	v:nominal	27	n	n	y	
care	v:nominal	27				
child	v:nominal	27	n	n	y	
cross	v:nominal	27	n	n	y	
dog	v:nominal	27	n	n	y	
eye	v:nominal	27	n	n	y	
fact	v:nominal	27	n	n	y	
grounds	v:nominal	27	n	n	y	
hand	v:nominal	27	n	n	y	
house	v:nominal	27	n	n	y	
lip	v:nominal	27	n	n	y	
name	v:nominal	27	n	n	y	
nanny	v:nominal	27	n	n	y	
pet	v:nominal	27	n	n	y	
pressure	v:nominal	27	n	n	y	
rough	v:nominal	27	n	n	y	
sound	v:nominal	27	n	n	y	
spell	v:nominal	27	n	n	y	
spin	v:nominal	27	n	n	y	
stone	v:nominal	27	n	n	y	
strong	v:nominal	27	n	n	y	
[de-]	v:productiveprefix	28	n	n	y	
[dis-]	v:productiveprefix	28	n	n	y	
[mis-]	v:productiveprefix	28	n	n	y	
[out-]	v:productiveprefix	28	n	n	y	
[over-]	v:productiveprefix	28	n	n	y	
[post-]	v:productiveprefix	28	n	n	y	
[pre-]	v:productiveprefix	28	n	n	y	
[re-]	v:productiveprefix	28	n	n	y	
[un-]	v:productiveprefix	28	n	n	y	
[under-]	v:productiveprefix	28	n	n	y	
[ab-]	v:latinprefix	29	n	n	y	
[ad-]	v:latinprefix	29	n	n	y	
[ante-]	v:latinprefix	29	n	n	y	
[be-]	v:latinprefix	29	n	n	y	
[cata-]	v:latinprefix	29	n	n	y	
[circum-]	v:latinprefix	29	n	n	y	
[co-]	v:latinprefix	29	n	n	y	
[contra-]	v:latinprefix	29	n	n	y	
[dia-]	v:latinprefix	29	n	n	y	
[dis-]	v:latinprefix	29	n	n	y	
[down-]	v:latinprefix	29	n	n	y	
[en-]	v:latinprefix	29	n	n	y	
[epi-]	v:latinprefix	29	n	n	y	
[eu-]	v:latinprefix	29	n	n	y	
[ex-]	v:latinprefix	29	n	n	y	
[fore-]	v:latinprefix	29	n	n	y	
[inter-]	v:latinprefix	29	n	n	y	
[intra-]	v:latinprefix	29	n	n	y	
[mis-]	v:latinprefix	29	n	n	y	
[ob-]	v:latinprefix	29	n	n	y	
[para-]	v:latinprefix	29	n	n	y	
[per-]	v:latinprefix	29	n	n	y	
[pro-]	v:latinprefix	29	n	n	y	
[se-]	v:latinprefix	29	n	n	y	
[sub-]	v:latinprefix	29	n	n	y	
[sup-]	v:latinprefix	29	n	n	y	
[sur-]	v:latinprefix	29	n	n	y	
[syn-]	v:latinprefix	29	n	n	y	
[tele-]	v:latinprefix	29	n	n	y	
[up-]	v:latinprefix	29	n	n	y	
KEYSTONE	v:verbroot	30	na	na	na	
[-ed]	v:verbinflection	31	n	n	y	
[-ing]	v:verbinflection	31	n	n	y	
[-s]	v:verbinflection	31	n	n	y	
Ad-V	v:ad-V3	32	n	n	n	
NP{P,T}	v:obj-part	33	n	n	n	
PRON{P,T}	v:obj-part	33				
VERBPART	v:obj-part	33	n	n	n	
NP{R}	v:rec	34	n	n	n	
Ad-VP	v:ad-VP6	35	n	n	n	
PP	v:PP	36	n	y	n	
AD-S	v:rightedge	37	n	y	n	
